Player,Matches,Runs,Average,100s,50s,Year
K Christie (HKG),1,0,0.00,0,0,2016
Aamer Hameed (PAK),1,-,-,-,-,1977
Aamer Hameed (PAK),1,-,-,-,-,1978
Aamer Hanif (PAK),1,17,-,0,0,1993
Aamer Hanif (PAK),4,72,36.00,0,0,1995
Aamer Malik (PAK),4,31,7.75,0,0,1988
Aamer Malik (PAK),17,468,31.20,0,5,1989
Aamer Malik (PAK),2,37,18.50,0,0,1990
Aamer Malik (PAK),1,20,20.00,0,0,1994
Aamer Nazir (PAK),6,1,-,0,0,1993
Aamer Nazir (PAK),3,12,12.00,0,0,1995
Aamer Sohail (PAK),1,32,32.00,0,0,1990
Aamer Sohail (PAK),4,106,26.50,0,1,1991
Aamer Sohail (PAK),22,598,27.18,1,3,1992
Aamer Sohail (PAK),13,409,31.46,0,3,1993
Aamer Sohail (PAK),28,1053,39.00,2,6,1994
Aamer Sohail (PAK),17,484,30.25,0,4,1995
Aamer Sohail (PAK),30,1090,37.58,2,7,1996
Aamer Sohail (PAK),15,313,22.35,0,4,1997
Aamer Sohail (PAK),19,566,33.29,0,3,1998
Aamer Sohail (PAK),4,53,13.25,0,0,1999
Aamer Sohail (PAK),3,76,25.33,0,0,2000
Aamer Yamin (PAK),3,63,63.00,0,1,2015
Aamer Yamin (PAK),1,32,-,0,0,2018
Aaqib Javed (PAK),3,0,0.00,0,0,1988
Aaqib Javed (PAK),20,2,-,0,0,1989
Aaqib Javed (PAK),12,1,0.50,0,0,1990
Aaqib Javed (PAK),8,7,3.50,0,0,1991
Aaqib Javed (PAK),25,24,12.00,0,0,1992
Aaqib Javed (PAK),20,17,5.66,0,0,1993
Aaqib Javed (PAK),15,18,18.00,0,0,1994
Aaqib Javed (PAK),18,75,25.00,0,0,1995
Aaqib Javed (PAK),13,93,23.25,0,0,1996
Aaqib Javed (PAK),18,28,4.66,0,0,1997
Aaqib Javed (PAK),11,2,2.00,0,0,1998
Aarif Sheikh (NEPAL),3,19,6.33,0,0,2018
Aarif Sheikh (NEPAL),3,75,37.50,0,0,2019
VR Aaron (INDIA),4,6,-,0,0,2011
VR Aaron (INDIA),5,2,2.00,0,0,2014
Aaron Jones (USA),1,2,2.00,0,0,2019
JS Ababu (KENYA),2,11,11.00,0,0,1999
JS Ababu (KENYA),1,17,17.00,0,0,2001
JS Ababu (KENYA),6,1,1.00,0,0,2006
KJ Abbott (SA),2,5,5.00,0,0,2013
